skill,description,foundational_source,foundational_url,foundational_authors,course_sources,course_urls,course_instructors,confidence,contribution_scope,notes
iran-cyber-espionage,Knowledge cell: Iranian state-sponsored cyber operations.,"Vendor research (Mandiant, CrowdStrike, Microsoft, Check Point, ClearSky, PwC); govt advisories (CISA, FBI, NCSC); MITRE ATT&CK Groups",https://attack.mitre.org/groups/,Mandiant; CrowdStrike; Microsoft TI; ClearSky; Check Point; CISA,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; Mandiant Academy (free tier): CTI fundamentals; Recorded Future University: Threat Intelligence Fundamentals,https://academy.attackiq.com/; https://www.mandiant.com/academy; https://university.recordedfuture.com/,Katie Nickels; Mandiant / Google Cloud; Recorded Future,MEDIUM,Major influence,See SKILL.md '## Sources & References' for full bibliography.
dprk-cyber-espionage,Knowledge cell: North Korean state-sponsored cyber operations.,"Vendor research (Mandiant, CrowdStrike, Microsoft, Kaspersky); govt advisories (CISA, FBI, Treasury, NPA Japan, NIS Korea); UN Panel of Experts reports; MITRE ATT&CK Groups",https://attack.mitre.org/groups/,Mandiant; CrowdStrike; Microsoft; CISA/FBI/Treasury; UN PoE,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; Mandiant Academy (free tier): CTI fundamentals; Recorded Future University: Threat Intelligence Fundamentals,https://academy.attackiq.com/; https://www.mandiant.com/academy; https://university.recordedfuture.com/,Katie Nickels; Mandiant / Google Cloud; Recorded Future,MEDIUM,Major influence,See SKILL.md '## Sources & References' for full bibliography.
russia-cyber-espionage,Knowledge cell: Russian state-sponsored cyber operations.,"Vendor research (Mandiant, CrowdStrike, Microsoft, ESET, Sekoia); govt advisories (CISA, FBI, NSA, NCSC, BSI, CERT-UA); MITRE ATT&CK Groups",https://attack.mitre.org/groups/,Mandiant; CrowdStrike; Microsoft TI; ESET; CERT-UA; CISA; NCSC,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; Mandiant Academy (free tier): CTI fundamentals; Recorded Future University: Threat Intelligence Fundamentals,https://academy.attackiq.com/; https://www.mandiant.com/academy; https://university.recordedfuture.com/,Katie Nickels; Mandiant / Google Cloud; Recorded Future,MEDIUM,Major influence,See SKILL.md '## Sources & References' for full bibliography.
hacktivism,Knowledge cell: hacktivist groups and politically-motivated ops.,"CyberKnow tracking project; vendor research (Trustwave, Recorded Future, Radware, Cloudflare, Sekoia); Will Thomas (BushidoToken) writing",https://cyberknow.medium.com/ ; https://blog.bushidotoken.net/,CyberKnow; Will Thomas; Trustwave; Recorded Future; Radware,Recorded Future University: Threat Intelligence Fundamentals; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can),https://university.recordedfuture.com/; https://www.antisyphontraining.com/,Recorded Future; Andy Piazza,MEDIUM,Major influence,See SKILL.md '## Sources & References'. CyberKnow's hacktivist tracker is the de-facto open registry.
infostealers,Knowledge cell: infostealer families and log markets.,"Vendor research (KELA, Hudson Rock, Sekoia, ESET, Group-IB, Flashpoint, Recorded Future); MITRE ATT&CK Software",https://attack.mitre.org/software/,KELA; Hudson Rock; Sekoia; ESET; Group-IB,Recorded Future University: Threat Intelligence Fundamentals; Mandiant Academy (free tier): CTI fundamentals,https://university.recordedfuture.com/; https://www.mandiant.com/academy,Recorded Future; Mandiant / Google Cloud,MEDIUM,Major influence,See SKILL.md '## Sources & References'. KELA + Hudson Rock are dominant on log-market data.
initial-access-brokers,Knowledge cell: initial-access broker market and pricing.,"Vendor research (KELA, Group-IB, Flashpoint, Searchlight Cyber, Recorded Future)",,KELA; Group-IB; Flashpoint; Searchlight Cyber; Recorded Future,Recorded Future University: Threat Intelligence Fundamentals; Mandiant Academy (free tier): CTI fundamentals,https://university.recordedfuture.com/; https://www.mandiant.com/academy,Recorded Future; Mandiant / Google Cloud,MEDIUM,Major influence,See SKILL.md '## Sources & References' for full bibliography.
ransomware-ecosystem,"Knowledge cell: ransomware ecosystem, RaaS, leak sites.","ransomware.live (Mousqueton); vendor research (Mandiant, CrowdStrike, Coveware, Sophos, SentinelOne, Recorded Future)",https://www.ransomware.live/,Julien Mousqueton (ransomware.live); Mandiant; CrowdStrike; Coveware,Recorded Future University: Threat Intelligence Fundamentals; Mandiant Academy (free tier): CTI fundamentals; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can),https://university.recordedfuture.com/; https://www.mandiant.com/academy; https://www.antisyphontraining.com/,Recorded Future; Mandiant / Google Cloud; Andy Piazza,MEDIUM,Major influence,See SKILL.md '## Sources & References' for full bibliography.
supply-chain-threats,Knowledge cell: supply-chain compromise patterns.,"CISA + ENISA reports on supply-chain risk; vendor research (Mandiant, CrowdStrike, ReversingLabs, Snyk, Sonatype); MITRE ATT&CK supply-chain TTPs",https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,ENISA; CISA; Mandiant; ReversingLabs,Recorded Future University: Threat Intelligence Fundamentals; Mandiant Academy (free tier): CTI fundamentals; AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://university.recordedfuture.com/; https://www.mandiant.com/academy; https://academy.attackiq.com/,Recorded Future; Mandiant / Google Cloud; Katie Nickels,MEDIUM,Major influence,See SKILL.md '## Sources & References' for full bibliography.
phishing-social-engineering,"Knowledge cell: phishing, BEC, AiTM, social-engineering.","APWG quarterly reports; vendor research (Microsoft, Group-IB, Sekoia, Proofpoint, Cloudflare, Trustwave); MITRE ATT&CK Initial Access TTPs",https://apwg.org/trendsreports/,APWG; Microsoft; Group-IB; Sekoia; Proofpoint,Recorded Future University: Threat Intelligence Fundamentals; AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://university.recordedfuture.com/; https://academy.attackiq.com/,Recorded Future; Katie Nickels,MEDIUM,Major influence,See SKILL.md '## Sources & References' for full bibliography.
carding-financial-fraud,"Knowledge cell: carding, BIN attacks, payment-card fraud.","Vendor research (Group-IB, KELA, Recorded Future, Gemini Advisory/Recorded Future, Flashpoint); law-enforcement takedown reporting",,Group-IB; KELA; Recorded Future; Flashpoint,Recorded Future University: Threat Intelligence Fundamentals; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can),https://university.recordedfuture.com/; https://www.antisyphontraining.com/,Recorded Future; Andy Piazza,MEDIUM,Major influence,See SKILL.md '## Sources & References' for full bibliography.
